id,conversation_id,utterance_id,speaker,utterance,tokens,pos_tags,has_code_switch,spanish_percentage,generation_strategy,topic
12,1,0,Speaker A,"Mija, ¿estás lista? You ready to go to the supermarket? I need to get some platanos and cilantro.","Mija,|¿estás|lista?|You|ready|to|go|to|the|supermarket?|I|need|to|get|some|platanos|and|cilantro.",EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,11.1,role_based,shopping trip
13,1,1,Speaker A,"Si, abuela. I'm ready. Just let me grab my purse. What else do you need?","Si,|abuela.|I'm|ready.|Just|let|me|grab|my|purse.|What|else|do|you|need?",ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,13.3,role_based,shopping trip
14,1,2,Speaker A,"Ay, muchas cosas! I need some good coffee, tu sabes, el café Dominicano. And maybe some avocado, if they're not too expensive. ¡A veces están carísimos!","Ay,|muchas|cosas!|I|need|some|good|coffee,|tu|sabes,|el|café|Dominicano.|And|maybe|some|avocado,|if|they're|not|too|expensive.|¡A|veces|están|carísimos!",ES|ES|ES|EN|EN|EN|EN|EN|ES|ES|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES,yes,46.2,role_based,shopping trip
15,1,3,Speaker A,"Okay, sounds good. We can check out the prices. Hopefully, we can find some good ones.","Okay,|sounds|good.|We|can|check|out|the|prices.|Hopefully,|we|can|find|some|good|ones.",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,role_based,shopping trip
16,1,4,Speaker A,"Eso espero, mi amor. And don't forget, I need that special soap I like, the one with the goat milk. Es bueno para la piel.","Eso|espero,|mi|amor.|And|don't|forget,|I|need|that|special|soap|I|like,|the|one|with|the|goat|milk.|Es|bueno|para|la|piel.",ES|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES|ES|ES,yes,40.0,role_based,shopping trip
17,1,5,Speaker A,"Got it, goat milk soap. Anything else, Abuela?","Got|it,|goat|milk|soap.|Anything|else,|Abuela?",EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,role_based,shopping trip
18,1,6,Speaker A,"Mmm, déjame pensar… Maybe some queso blanco for the weekend. We can make some fried cheese.","Mmm,|déjame|pensar…|Maybe|some|queso|blanco|for|the|weekend.|We|can|make|some|fried|cheese.",ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,18.8,role_based,shopping trip
19,1,7,Speaker A,"¡Ay, que rico! Fried cheese sounds amazing. Let's go before all the good stuff is gone.","¡Ay,|que|rico!|Fried|cheese|sounds|amazing.|Let's|go|before|all|the|good|stuff|is|gone.",ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,18.8,role_based,shopping trip
20,2,0,Speaker A,"Okay, cariño, let's make some tacos! I'm thinking carne asada. Are you up for grilling the meat?","Okay,|cariño,|let's|make|some|tacos!|I'm|thinking|carne|asada.|Are|you|up|for|grilling|the|meat?",EN|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,5.9,topic_variation_humorous,cooking together
21,2,1,Speaker A,¡Claro que sí! But you know my grilling skills are… *meh*. Just point me towards the barbacoa and pray.,¡Claro|que|sí!|But|you|know|my|grilling|skills|are…|*meh*.|Just|point|me|towards|the|barbacoa|and|pray.,EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,10.5,topic_variation_humorous,cooking together
22,2,2,Speaker A,Prayer is always helpful! I'll prep the veggies. ¿Cebolla y cilantro?,Prayer|is|always|helpful!|I'll|prep|the|veggies.|¿Cebolla|y|cilantro?,ES|EN|ES|EN|EN|EN|EN|EN|ES|ES|ES,yes,45.5,topic_variation_humorous,cooking together
23,2,3,Speaker A,¡Sí! And maybe some of that spicy salsa verde? The one that makes you sweat a little?,¡Sí!|And|maybe|some|of|that|spicy|salsa|verde?|The|one|that|makes|you|sweat|a|little?,ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,5.9,topic_variation_humorous,cooking together
24,2,4,Speaker A,"¡Ay, Dios mío! Esa salsa es peligrosa! Are you sure? I don't want you crying during dinner.","¡Ay,|Dios|mío!|Esa|salsa|es|peligrosa!|Are|you|sure?|I|don't|want|you|crying|during|dinner.",ES|ES|ES|ES|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,41.2,topic_variation_humorous,cooking together
25,2,5,Speaker A,"I can handle it! Besides, a little suffering makes the tacos taste even better, no?","I|can|handle|it!|Besides,|a|little|suffering|makes|the|tacos|taste|even|better,|no?",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_humorous,cooking together
26,2,6,Speaker A,"If you say so. Okay, I'm chopping onions, prepare for tears. It’s like a rom-com in here, pero with onions.","If|you|say|so.|Okay,|I'm|chopping|onions,|prepare|for|tears.|It’s|like|a|rom-com|in|here,|pero|with|onions.",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN,yes,5.0,topic_variation_humorous,cooking together
27,2,7,Speaker A,"¡Jajaja! No llores, mi amor. I'll wear my sunglasses while grilling. Problem solved!","¡Jajaja!|No|llores,|mi|amor.|I'll|wear|my|sunglasses|while|grilling.|Problem|solved!",ES|ES|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN,yes,38.5,topic_variation_humorous,cooking together
28,2,8,Speaker A,"Brilliant! Now, go forth and grill, my magnificent, slightly-blinded, meat-cooking warrior!","Brilliant!|Now,|go|forth|and|grill,|my|magnificent,|slightly-blinded,|meat-cooking|warrior!",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_humorous,cooking together
29,2,9,Speaker A,¡A la orden! ¡Por los tacos!,¡A|la|orden!|¡Por|los|tacos!,ES|ES|ES|ES|ES|ES,no,100.0,topic_variation_humorous,cooking together
30,4,0,Speaker A,Hey! What’s for dinner tonight? I’m starving.,Hey!|What’s|for|dinner|tonight?|I’m|starving.,EN|EN|EN|EN|EN|EN|EN,no,0.0,free_generation,family dinner
31,4,1,Speaker B,I’m thinking of making arroz con pollo. Does that sound good?,I’m|thinking|of|making|arroz|con|pollo|Does|that|sound|good?,EN|EN|EN|EN|ES|ES|ES|EN|EN|EN|EN,yes,27.3,free_generation,family dinner
32,4,2,Speaker A,"Oh, sí, that sounds amazing! Anything I can do to help?","Oh,|sí|that|sounds|amazing!|Anything|I|can|do|to|help?",EN|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,9.1,free_generation,family dinner
33,4,3,Speaker B,Could you set the table? And maybe chop some cebolla?,Could|you|set|the|table?|And|maybe|chop|some|cebolla,EN|EN|EN|EN|EN|EN|EN|EN|EN|ES,yes,10.0,free_generation,family dinner
34,4,4,Speaker A,Sure thing! Dónde is the cutting board?,Sure|thing!|Dónde|is|the|cutting|board?,EN|EN|ES|EN|EN|EN|EN,yes,14.3,free_generation,family dinner
35,4,5,Speaker B,It's in the drawer next to the stove. And could you put on some music? Something alegre.,It's|in|the|drawer|next|to|the|stove.|And|could|you|put|on|some|music?|Something|alegre,EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES,yes,5.9,free_generation,family dinner
36,4,6,Speaker A,"Okay, entendido. How about some Buena Vista Social Club?","Okay,|entendido|How|about|some|Buena|Vista|Social|Club?",EN|ES|EN|EN|EN|EN|EN|EN|EN,yes,11.1,free_generation,family dinner
37,4,7,Speaker B,Perfect! That's exactly the vibe I was going for. Gracias!,Perfect!|That's|exactly|the|vibe|I|was|going|for.|Gracias,EN|EN|EN|EN|EN|EN|EN|EN|EN|ES,yes,10.0,free_generation,family dinner
38,4,8,Speaker A,"You're welcome! By the way, did you call abuela to tell her we are eating at 7?","You're|welcome!|By|the|way,|did|you|call|abuela|to|tell|her|we|are|eating|at",EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|EN|EN|EN|EN,yes,6.2,free_generation,family dinner
39,4,9,Speaker B,"Oh shoot, I forgot! Can you do it? My hands are a little messy with the pollo.","Oh|shoot,|I|forgot!|Can|you|do|it?|My|hands|are|a|little|messy|with|the|pollo",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES,yes,5.9,free_generation,family dinner
40,4,10,Speaker A,No problem. I'll call her right now. Ella will be happy.,No|problem.|I'll|call|her|right|now.|Ella|will|be|happy.,EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN,yes,9.1,free_generation,family dinner
41,4,11,Speaker B,"Bueno, I’m glad you are helping out tonight. Dinner will be ready soon!",Bueno|I’m|glad|you|are|helping|out|tonight.|Dinner|will|be|ready|soon!,ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,7.7,free_generation,family dinner
42,6,0,Speaker A,"Hey Ravi, ¿cómo vas con el proyecto de la escuela? How's it coming along? I'm a bit stuck on the energy efficiency calculations.","Hey|Ravi,|cómo|vas|con|el|proyecto|de|la|escuela?|How's|it|coming|along?|I'm|a|bit|stuck|on|the|energy|efficiency|calculations.",EN|EN|ES|ES|ES|ES|ES|ES|ES|ES|EN|EN|EN|EN|EN|ES|EN|EN|ES|EN|EN|EN|ES,yes,47.8,role_based,school project
43,6,1,Speaker A,"Hi Mateo! It's going okay, a little slow. I was actually looking at that section just now. Maybe we can work on it together? I was thinking of using the fórmula for heat transfer.","Hi|Mateo!|It's|going|okay,|a|little|slow.|I|was|actually|looking|at|that|section|just|now.|Maybe|we|can|work|on|it|together?|I|was|thinking|of|using|the|fórmula|for|heat|transfer.",EN|EN|EN|EN|EN|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN,yes,5.9,role_based,school project
44,6,2,Speaker A,¡Perfecto! I was thinking something similar. I have some doubts about the insulation properties of the materials we chose. ¿Crees que deberíamos cambiarlos?,¡Perfecto!|I|was|thinking|something|similar.|I|have|some|doubts|about|the|insulation|properties|of|the|materials|we|chose.|¿Crees|que|deberíamos|cambiarlos?,ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES,yes,21.7,role_based,school project
45,6,3,Speaker A,"Hmmm, that's a good point. Maybe. What were you thinking of switching to? Something more sustainable, perhaps?","Hmmm,|that's|a|good|point.|Maybe.|What|were|you|thinking|of|switching|to?|Something|more|sustainable,|perhaps?",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,role_based,school project
46,6,4,Speaker A,"Exactly! Algo más ecológico. I found some bio-based polymers that could work, but I need to double-check their thermal conductivity.","Exactly!|Algo|más|ecológico.|I|found|some|bio-based|polymers|that|could|work,|but|I|need|to|double-check|their|thermal|conductivity.",EN|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,15.0,role_based,school project
47,6,5,Speaker A,"Let's look at the data sheets together then. I have some experience with analyzing that sort of information. It's pretty dense, pero podemos hacerlo.","Let's|look|at|the|data|sheets|together|then.|I|have|some|experience|with|analyzing|that|sort|of|information.|It's|pretty|dense,|pero|podemos|hacerlo.",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES,yes,12.5,role_based,school project
48,6,6,Speaker A,"Great! ¡Dale! I'll pull them up right now. Maybe with your expertise and my ingeniería, we can nail this.",Great!|¡Dale!|I'll|pull|them|up|right|now.|Maybe|with|your|expertise|and|my|ingeniería|we|can|nail|this.,EN|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|EN,yes,10.5,role_based,school project
49,6,7,Speaker A,"Haha, hopefully! Teamwork makes the dream work, as they say. Let's conquer this school project.","Haha,|hopefully!|Teamwork|makes|the|dream|work,|as|they|say.|Let's|conquer|this|school|project.",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,role_based,school project
50,6,8,Speaker A,¡Absolutamente! Manos a la obra.,¡Absolutamente!|Manos|a|la|obra.,ES|ES|ES|ES|ES,no,100.0,role_based,school project
51,7,0,Speaker A,Hey! What are you up to this weekend? Any planes?,Hey!|What|are|you|up|to|this|weekend?|Any|planes?,EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_casual,weekend plans
52,7,1,Speaker A,"Not really, nothing set in stone. Maybe catch a movie. Y tú? ¿Tienes algo planeado?","Not|really,|nothing|set|in|stone.|Maybe|catch|a|movie.|Y|tú?|¿Tienes|algo|planeado?",EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|ES|ES|ES,yes,26.7,topic_variation_casual,weekend plans
53,7,2,Speaker A,"I was thinking of going hiking, the weather is supposed to be nice. ¿Te gustaría venir?","I|was|thinking|of|going|hiking,|the|weather|is|supposed|to|be|nice.|¿Te|gustaría|venir?",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES,yes,18.8,topic_variation_casual,weekend plans
54,7,3,Speaker A,"Hmm, hiking... ¡Suena bien! But I’m so out of shape.","Hmm,|hiking...|¡Suena|bien!|But|I’m|so|out|of|shape.",EN|EN|ES|ES|EN|EN|EN|EN|EN|EN,yes,20.0,topic_variation_casual,weekend plans
55,7,4,Speaker A,"Don't worry, we can take it easy. No tenemos que ir muy lejos.","Don't|worry,|we|can|take|it|easy.|No|tenemos|que|ir|muy|lejos.",EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES|ES|ES,yes,46.2,topic_variation_casual,weekend plans
56,7,5,Speaker A,"Okay, okay, you’ve convinced me. What time were you thinking?","Okay,|okay,|you’ve|convinced|me.|What|time|were|you|thinking?",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_casual,weekend plans
57,7,6,Speaker A,Early-ish? Like 9 am? We can grab coffee first.,Early-ish?|Like|am?|We|can|grab|coffee|first.,EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_casual,weekend plans
58,7,7,Speaker A,Perfecto! Necesito un café fuerte. I'm in.,Perfecto!|Necesito|un|café|fuerte.|I'm|in.,EN|ES|ES|ES|ES|EN|EN,yes,57.1,topic_variation_casual,weekend plans
59,7,8,Speaker A,Awesome! I'll text you the details later.,Awesome!|I'll|text|you|the|details|later.,EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_casual,weekend plans
60,7,9,Speaker A,Great! ¡Hasta el sábado entonces!,Great!|¡Hasta|el|sábado|entonces!,EN|ES|ES|ES|ES,yes,80.0,topic_variation_casual,weekend plans
61,7,10,Speaker A,See you Saturday! Have a good one until then.,See|you|Saturday!|Have|a|good|one|until|then.,EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,topic_variation_casual,weekend plans
62,6,0,Speaker A,"¡Hola! Buenas tardes, I wanted to chat quickly about the movie night. We're thinking of showing either Encanto or Coco. What do you think would resonate more with the kids, especially considering our class's diverse backgrounds?","¡Hola!|Buenas|tardes,|I|wanted|to|chat|quickly|about|the|movie|night.|We're|thinking|of|showing|either|Encanto|or|Coco.|What|do|you|think|would|resonate|more|with|the|kids,|especially|considering|our|class's|diverse|backgrounds?",EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,5.6,role_based,movie night
63,6,1,Speaker A,"Hi! ¡Qué bueno! Both are great choices. Coco is beautiful, but Encanto, being set in Colombia, might be a bit more relatable for some of the kids. My daughter, Sofia, is half-Puerto Rican, half-Irish, and she really connected with Luisa's struggles.","Hi!|¡Qué|bueno!|Both|are|great|choices.|Coco|is|beautiful,|but|Encanto,|being|set|in|Colombia,|might|be|a|bit|more|relatable|for|some|of|the|kids.|My|daughter,|Sofia,|is|half-Puerto|Rican,|half-Irish,|and|she|really|connected|with|Luisa's|struggles.",EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,4.9,role_based,movie night
64,6,2,Speaker A,"¡Ay, sí! That’s a good point. Encanto also touches on family pressures, which, let's be honest, eso es algo muy común en nuestra cultura.","¡Ay,|sí!|That’s|a|good|point.|Encanto|also|touches|on|family|pressures,|which,|let's|be|honest,|eso|es|algo|muy|común|en|nuestra|cultura.",ES|ES|EN|ES|EN|EN|EN|EN|ES|EN|EN|ES|EN|EN|EN|ES|ES|ES|ES|ES|ES|ES|ES|ES,yes,58.3,role_based,movie night
65,6,3,Speaker A,"Exactly! And the music is fantastic. Plus, it shows a strong, multi-generational family. Eso es importante.","Exactly!|And|the|music|is|fantastic.|Plus,|it|shows|a|strong,|multi-generational|family.|Eso|es|importante.",EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|ES|ES|ES,yes,25.0,role_based,movie night
66,6,4,Speaker A,¡Definitivamente! I was also thinking about having some platanitos maduros and maybe some juice boxes. Something simple for everyone.,¡Definitivamente!|I|was|also|thinking|about|having|some|platanitos|maduros|and|maybe|some|juice|boxes.|Something|simple|for|everyone.,ES|EN|EN|EN|EN|EN|EN|EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,15.8,role_based,movie night
67,6,5,Speaker A,That sounds perfect! Sofia loves platanitos maduros. Maybe some popcorn too?,That|sounds|perfect!|Sofia|loves|platanitos|maduros.|Maybe|some|popcorn|too?,EN|EN|EN|EN|EN|ES|ES|EN|EN|EN|EN,yes,18.2,role_based,movie night
68,6,6,Speaker A,"¡Claro que sí! Popcorn it is. So, leaning towards Encanto then?","¡Claro|que|sí!|Popcorn|it|is.|So,|leaning|towards|Encanto|then?",ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN,yes,27.3,role_based,movie night
69,6,7,Speaker A,"Yes, I think Encanto would be a wonderful choice. Thanks for asking for my input!","Yes,|I|think|Encanto|would|be|a|wonderful|choice.|Thanks|for|asking|for|my|input!",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,role_based,movie night
70,6,8,Speaker A,¡De nada! Your insights are always helpful. See you at the movie night!,¡De|nada!|Your|insights|are|always|helpful.|See|you|at|the|movie|night!,ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,15.4,role_based,movie night
71,6,9,Speaker A,¡Allí nos vemos!,¡Allí|nos|vemos!,ES|ES|ES,no,100.0,role_based,movie night
72,8,0,Speaker A,"What should we have for dinner, cena, tonight? Estoy pensando en algo fácil.","What|should|we|have|for|dinner,|cena|tonight?|Estoy|pensando|en|algo|fácil.",EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|ES|EN|EN,yes,15.4,back_translation,family dinner
73,8,1,Speaker A,"How about tacos, tacos? Everyone loves ama tacos, and they are quick, rapido.","How|about|tacos,|tacos|Everyone|loves|ama|tacos,|and|they|are|quick,|rapido",EN|EN|ES|ES|EN|EN|ES|ES|EN|EN|EN|EN|ES,yes,38.5,back_translation,family dinner
74,8,2,Speaker A,"That sounds great, suena genial! Do we have all the ingredients, ingredientes? Necesito saber si tengo que ir a la tienda.","That|sounds|great,|suena|genial|Do|we|have|all|the|ingredients,|ingredientes|Necesito|saber|si|tengo|que|ir|a|la|tienda.",EN|EN|EN|ES|ES|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|EN|EN|EN|ES|EN|EN,yes,19.0,back_translation,family dinner
75,8,3,Speaker A,"I think we need tortillas, tortillas, and maybe some salsa, salsa. Creo que tenemos todo lo demás.","I|think|we|need|tortillas,|tortillas|and|maybe|some|salsa,|salsa|Creo|que|tenemos|todo|lo|demás.",EN|EN|EN|EN|ES|ES|EN|EN|EN|ES|ES|EN|EN|EN|EN|EN|EN,yes,23.5,back_translation,family dinner
76,8,4,Speaker A,"Okay, I'll go to the store, la tienda, after work. ¿Necesitas algo más?","Okay,|I'll|go|to|the|store,|la|tienda|after|work.|¿Necesitas|algo|más?",EN|EN|EN|EN|EN|EN|ES|ES|EN|EN|EN|EN|EN,yes,15.4,back_translation,family dinner
77,8,5,Speaker A,"Maybe some avocados, aguacates? Para hacer guacamole.","Maybe|some|avocados,|aguacates|Para|hacer|guacamole.",EN|EN|EN|ES|EN|EN|EN,yes,14.3,back_translation,family dinner
78,8,6,Speaker A,"Good idea, buena idea! I'll get those too. ¿A qué hora quieres comer? What time should we eat?","Good|idea,|buena|idea|I'll|get|those|too.|¿A|qué|hora|quieres|comer?|What|time|should|we|eat?",EN|ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,16.7,back_translation,family dinner
79,8,7,Speaker A,"Let's aim for seven, siete? That gives us plenty of time, tiempo, to prepare everything.","Let's|aim|for|seven,|siete|That|gives|us|plenty|of|time,|tiempo|to|prepare|everything.",EN|EN|EN|EN|ES|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN,yes,13.3,back_translation,family dinner
80,8,8,Speaker A,"Perfect! I'll be home, casa, by six, seis. Nos vemos luego.","Perfect!|I'll|be|home,|casa|by|six,|seis|Nos|vemos|luego.",EN|EN|EN|EN|ES|EN|EN|ES|EN|EN|EN,yes,18.2,back_translation,family dinner
81,8,9,Speaker A,"Great! See you later, luego. I'll start setting the table, la mesa.","Great!|See|you|later,|luego|I'll|start|setting|the|table,|la|mesa",EN|EN|EN|ES|ES|EN|EN|EN|EN|EN|ES|ES,yes,33.3,back_translation,family dinner
82,9,0,Speaker A,"Hey, did you start working on the science project yet? I'm a little lost.","Hey,|did|you|start|working|on|the|science|project|yet?|I'm|a|little|lost.",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,no,0.0,free_generation,school project
83,9,1,Speaker B,"¡Hola! Not really, estoy pensando about it. What part is giving you trouble?","¡Hola!|Not|really,|estoy|pensando|about|it.|What|part|is|giving|you|trouble?",ES|EN|EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN,yes,23.1,free_generation,school project
84,9,2,Speaker A,"I'm not sure how to design the experiment. No sé, es complicado.","I'm|not|sure|how|to|design|the|experiment.|No|sé,|es|complicado.",EN|EN|EN|EN|EN|ES|EN|EN|ES|ES|ES|ES,yes,41.7,free_generation,school project
85,9,3,Speaker B,"Sí, lo entiendo. Maybe we could brainstorm together? Two heads are better than one, right?","Sí,|lo|entiendo.|Maybe|we|could|brainstorm|together?|Two|heads|are|better|than|one,|right?",ES|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,20.0,free_generation,school project
86,9,4,Speaker A,Definitely! ¿Qué te parece si nos juntamos mañana después de clases?,Definitely!|¿Qué|te|parece|si|nos|juntamos|mañana|después|de|clases?,ES|ES|ES|ES|ES|ES|ES|ES|ES|ES|ES,no,100.0,free_generation,school project
87,9,5,Speaker B,"Sounds good! I'm free after school. We can go to the library, ¿o prefieres mi casa?","Sounds|good!|I'm|free|after|school.|We|can|go|to|the|library,|¿o|prefieres|mi|casa?",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES,yes,25.0,free_generation,school project
88,9,6,Speaker A,"The library is probably better. Less distractions, y podemos usar las computadoras.","The|library|is|probably|better.|Less|distractions,|y|podemos|usar|las|computadoras.",EN|ES|EN|ES|EN|EN|EN|ES|ES|ES|ES|ES,yes,58.3,free_generation,school project
89,9,7,Speaker B,"Okay, perfect! We can research some ideas online. Quizás encontramos algo interesante.","Okay,|perfect!|We|can|research|some|ideas|online.|Quizás|encontramos|algo|interesante.",EN|EN|EN|EN|EN|EN|EN|EN|ES|ES|ES|ES,yes,33.3,free_generation,school project
